,attributes,datatype,date,station,value
104,",,7,0800",TOBS,2016-01-09T00:00:00,GHCND:USC00427516,-17
105,",,N,",PRCP,2016-01-10T00:00:00,GHCND:US1UTWG0005,0
106,",,N,",SNOW,2016-01-10T00:00:00,GHCND:US1UTWG0005,0
107,",,N,",PRCP,2016-01-10T00:00:00,GHCND:US1UTWG0014,0
108,",,N,",SNOW,2016-01-10T00:00:00,GHCND:US1UTWG0014,0
109,",,7,0800",PRCP,2016-01-10T00:00:00,GHCND:USC00423506,0
110,",,7,",SNOW,2016-01-10T00:00:00,GHCND:USC00423506,0
111,",,7,",SNWD,2016-01-10T00:00:00,GHCND:USC00423506,0
112,",,7,0800",PRCP,2016-01-10T00:00:00,GHCND:USC00427516,0
113,",,7,",SNOW,2016-01-10T00:00:00,GHCND:USC00427516,0
114,",,7,0800",SNWD,2016-01-10T00:00:00,GHCND:USC00427516,0
115,",,7,0800",TMAX,2016-01-10T00:00:00,GHCND:USC00427516,78
116,",,7,0800",TMIN,2016-01-10T00:00:00,GHCND:USC00427516,-17
117,",,7,0800",TOBS,2016-01-10T00:00:00,GHCND:USC00427516,0
118,",,N,",PRCP,2016-01-11T00:00:00,GHCND:US1UTWG0014,0
119,",,N,",SNOW,2016-01-11T00:00:00,GHCND:US1UTWG0014,0
120,",,7,0800",PRCP,2016-01-11T00:00:00,GHCND:USC00423506,0
121,",,7,",SNOW,2016-01-11T00:00:00,GHCND:USC00423506,0
122,",,7,",SNWD,2016-01-11T00:00:00,GHCND:USC00423506,0
123,",,7,0800",PRCP,2016-01-11T00:00:00,GHCND:USC00427516,0
124,",,7,",SNOW,2016-01-11T00:00:00,GHCND:USC00427516,0
125,",,7,0800",SNWD,2016-01-11T00:00:00,GHCND:USC00427516,0
126,",,7,0800",TMAX,2016-01-11T00:00:00,GHCND:USC00427516,94
127,",,7,0800",TMIN,2016-01-11T00:00:00,GHCND:USC00427516,-28
128,",,7,0800",TOBS,2016-01-11T00:00:00,GHCND:USC00427516,-28
129,",,N,",PRCP,2016-01-12T00:00:00,GHCND:US1UTWG0005,0
130,",,N,",SNOW,2016-01-12T00:00:00,GHCND:US1UTWG0005,0
131,",,N,",PRCP,2016-01-12T00:00:00,GHCND:US1UTWG0014,0
132,",,N,",SNOW,2016-01-12T00:00:00,GHCND:US1UTWG0014,0
133,",,7,0800",PRCP,2016-01-12T00:00:00,GHCND:USC00423506,0
134,",,7,",SNOW,2016-01-12T00:00:00,GHCND:USC00423506,0
135,",,7,",SNWD,2016-01-12T00:00:00,GHCND:USC00423506,0
136,",,7,0800",PRCP,2016-01-12T00:00:00,GHCND:USC00427516,0
137,",,7,",SNOW,2016-01-12T00:00:00,GHCND:USC00427516,0
138,",,7,0800",SNWD,2016-01-12T00:00:00,GHCND:USC00427516,0
139,",,7,0800",TMAX,2016-01-12T00:00:00,GHCND:USC00427516,94
140,",,7,0800",TMIN,2016-01-12T00:00:00,GHCND:USC00427516,-44
141,",,7,0800",TOBS,2016-01-12T00:00:00,GHCND:USC00427516,-33
142,",,N,",PRCP,2016-01-13T00:00:00,GHCND:US1UTWG0005,0
143,",,N,",SNOW,2016-01-13T00:00:00,GHCND:US1UTWG0005,0
144,",,N,",PRCP,2016-01-13T00:00:00,GHCND:US1UTWG0014,0
145,",,N,",SNOW,2016-01-13T00:00:00,GHCND:US1UTWG0014,0
146,",,7,0800",PRCP,2016-01-13T00:00:00,GHCND:USC00423506,0
147,",,7,",SNOW,2016-01-13T00:00:00,GHCND:USC00423506,0
148,",,7,",SNWD,2016-01-13T00:00:00,GHCND:USC00423506,0
149,",,7,0800",PRCP,2016-01-13T00:00:00,GHCND:USC00427516,0
150,",,7,",SNOW,2016-01-13T00:00:00,GHCND:USC00427516,0
151,",,7,0800",SNWD,2016-01-13T00:00:00,GHCND:USC00427516,0
152,",,7,0800",TMAX,2016-01-13T00:00:00,GHCND:USC00427516,94
153,",,7,0800",TMIN,2016-01-13T00:00:00,GHCND:USC00427516,-44
154,",,7,0800",TOBS,2016-01-13T00:00:00,GHCND:USC00427516,-33
155,",,N,",PRCP,2016-01-14T00:00:00,GHCND:US1UTWG0005,0
156,",,N,",SNOW,2016-01-14T00:00:00,GHCND:US1UTWG0005,0
157,",,N,",PRCP,2016-01-14T00:00:00,GHCND:US1UTWG0014,0
158,",,N,",SNOW,2016-01-14T00:00:00,GHCND:US1UTWG0014,0
159,",,7,0800",PRCP,2016-01-14T00:00:00,GHCND:USC00423506,0
160,",,7,",SNOW,2016-01-14T00:00:00,GHCND:USC00423506,0
161,",,7,",SNWD,2016-01-14T00:00:00,GHCND:USC00423506,0
162,",,7,0800",PRCP,2016-01-14T00:00:00,GHCND:USC00427516,0
163,",,7,",SNOW,2016-01-14T00:00:00,GHCND:USC00427516,0
164,",,7,0800",SNWD,2016-01-14T00:00:00,GHCND:USC00427516,0
165,",,7,0800",TMAX,2016-01-14T00:00:00,GHCND:USC00427516,117
166,",,7,0800",TMIN,2016-01-14T00:00:00,GHCND:USC00427516,-44
167,",,7,0800",TOBS,2016-01-14T00:00:00,GHCND:USC00427516,-28
168,",,N,",PRCP,2016-01-15T00:00:00,GHCND:US1UTWG0014,0
169,",,N,",SNOW,2016-01-15T00:00:00,GHCND:US1UTWG0014,0
170,",,7,0800",PRCP,2016-01-15T00:00:00,GHCND:USC00423506,0
171,",,7,",SNOW,2016-01-15T00:00:00,GHCND:USC00423506,0
172,",,7,",SNWD,2016-01-15T00:00:00,GHCND:USC00423506,0
173,",,7,0800",PRCP,2016-01-15T00:00:00,GHCND:USC00427516,0
174,",,7,",SNOW,2016-01-15T00:00:00,GHCND:USC00427516,0
175,",,7,0800",SNWD,2016-01-15T00:00:00,GHCND:USC00427516,0
176,",,7,0800",TMAX,2016-01-15T00:00:00,GHCND:USC00427516,139
177,",,7,0800",TMIN,2016-01-15T00:00:00,GHCND:USC00427516,-28
178,",,7,0800",TOBS,2016-01-15T00:00:00,GHCND:USC00427516,11
179,",,N,",PRCP,2016-01-16T00:00:00,GHCND:US1UTWG0005,0
180,",,N,",SNOW,2016-01-16T00:00:00,GHCND:US1UTWG0005,0
181,",,N,",PRCP,2016-01-16T00:00:00,GHCND:US1UTWG0014,3
182,",,7,0800",PRCP,2016-01-16T00:00:00,GHCND:USC00423506,0
183,",,7,",SNOW,2016-01-16T00:00:00,GHCND:USC00423506,0
184,",,7,",SNWD,2016-01-16T00:00:00,GHCND:USC00423506,0
185,",,7,0800",PRCP,2016-01-16T00:00:00,GHCND:USC00427516,0
186,",,7,",SNOW,2016-01-16T00:00:00,GHCND:USC00427516,0
187,",,7,0800",SNWD,2016-01-16T00:00:00,GHCND:USC00427516,0
188,",,7,0800",TMAX,2016-01-16T00:00:00,GHCND:USC00427516,106
189,",,7,0800",TMIN,2016-01-16T00:00:00,GHCND:USC00427516,-6
190,",,7,0800",TOBS,2016-01-16T00:00:00,GHCND:USC00427516,6
191,",,N,",PRCP,2016-01-17T00:00:00,GHCND:US1UTWG0005,0
192,",,N,",SNOW,2016-01-17T00:00:00,GHCND:US1UTWG0005,0
193,",,N,",PRCP,2016-01-17T00:00:00,GHCND:US1UTWG0014,0
194,",,N,",SNOW,2016-01-17T00:00:00,GHCND:US1UTWG0014,0
195,",,7,0800",PRCP,2016-01-17T00:00:00,GHCND:USC00423506,0
196,",,7,",SNOW,2016-01-17T00:00:00,GHCND:USC00423506,0
197,",,7,",SNWD,2016-01-17T00:00:00,GHCND:USC00423506,0
198,",,7,0800",PRCP,2016-01-17T00:00:00,GHCND:USC00427516,0
199,",,7,",SNOW,2016-01-17T00:00:00,GHCND:USC00427516,0
200,",,7,0800",SNWD,2016-01-17T00:00:00,GHCND:USC00427516,0
201,",,7,0800",TMAX,2016-01-17T00:00:00,GHCND:USC00427516,94
202,",,7,0800",TMIN,2016-01-17T00:00:00,GHCND:USC00427516,-28
203,",,7,0800",TOBS,2016-01-17T00:00:00,GHCND:USC00427516,-22
204,",,N,",PRCP,2016-01-18T00:00:00,GHCND:US1UTWG0005,0
205,",,N,",SNOW,2016-01-18T00:00:00,GHCND:US1UTWG0005,0
206,",,N,",PRCP,2016-01-18T00:00:00,GHCND:US1UTWG0014,0
207,",,N,",SNOW,2016-01-18T00:00:00,GHCND:US1UTWG0014,0
208,",,7,0800",PRCP,2016-01-18T00:00:00,GHCND:USC00423506,0
209,",,7,",SNOW,2016-01-18T00:00:00,GHCND:USC00423506,0
210,",,7,",SNWD,2016-01-18T00:00:00,GHCND:USC00423506,0
211,",,7,0800",PRCP,2016-01-18T00:00:00,GHCND:USC00427516,0
212,",,7,",SNOW,2016-01-18T00:00:00,GHCND:USC00427516,0
213,",,7,0800",SNWD,2016-01-18T00:00:00,GHCND:USC00427516,0
214,",,7,0800",TMAX,2016-01-18T00:00:00,GHCND:USC00427516,122
215,",,7,0800",TMIN,2016-01-18T00:00:00,GHCND:USC00427516,-22
216,",,7,0800",TOBS,2016-01-18T00:00:00,GHCND:USC00427516,17
217,",,N,",PRCP,2016-01-19T00:00:00,GHCND:US1UTWG0005,0
218,",,N,",SNOW,2016-01-19T00:00:00,GHCND:US1UTWG0005,0
219,",,N,",PRCP,2016-01-19T00:00:00,GHCND:US1UTWG0014,0
220,",,N,",SNOW,2016-01-19T00:00:00,GHCND:US1UTWG0014,0
221,",,7,0800",PRCP,2016-01-19T00:00:00,GHCND:USC00423506,0
222,",,7,",SNOW,2016-01-19T00:00:00,GHCND:USC00423506,0
223,",,7,",SNWD,2016-01-19T00:00:00,GHCND:USC00423506,0
224,",,7,0800",PRCP,2016-01-19T00:00:00,GHCND:USC00427516,0
225,",,7,",SNOW,2016-01-19T00:00:00,GHCND:USC00427516,0
226,",,7,0800",SNWD,2016-01-19T00:00:00,GHCND:USC00427516,0
227,",,7,0800",TMAX,2016-01-19T00:00:00,GHCND:USC00427516,128
228,",,7,0800",TMIN,2016-01-19T00:00:00,GHCND:USC00427516,0
229,",,7,0800",TOBS,2016-01-19T00:00:00,GHCND:USC00427516,6
230,",,N,",PRCP,2016-01-20T00:00:00,GHCND:US1UTWG0014,13
231,",,7,0800",PRCP,2016-01-20T00:00:00,GHCND:USC00423506,117
232,",,7,",SNOW,2016-01-20T00:00:00,GHCND:USC00423506,0
233,",,7,",SNWD,2016-01-20T00:00:00,GHCND:USC00423506,0
234,",,7,0800",PRCP,2016-01-20T00:00:00,GHCND:USC00427516,8
235,",,7,",SNOW,2016-01-20T00:00:00,GHCND:USC00427516,0
236,",,7,0800",SNWD,2016-01-20T00:00:00,GHCND:USC00427516,0
237,",,7,0800",TMAX,2016-01-20T00:00:00,GHCND:USC00427516,94
238,",,7,0800",TMIN,2016-01-20T00:00:00,GHCND:USC00427516,6
239,",,7,0800",TOBS,2016-01-20T00:00:00,GHCND:USC00427516,39
240,",,N,",PRCP,2016-01-21T00:00:00,GHCND:US1UTWG0014,0
241,",,N,",SNOW,2016-01-21T00:00:00,GHCND:US1UTWG0014,0
242,",,7,0800",PRCP,2016-01-21T00:00:00,GHCND:USC00423506,0
243,",,7,",SNOW,2016-01-21T00:00:00,GHCND:USC00423506,0
244,",,7,",SNWD,2016-01-21T00:00:00,GHCND:USC00423506,0
245,",,7,0800",PRCP,2016-01-21T00:00:00,GHCND:USC00427516,0
246,",,7,",SNOW,2016-01-21T00:00:00,GHCND:USC00427516,0
247,",,7,0800",SNWD,2016-01-21T00:00:00,GHCND:USC00427516,0
248,",,7,0800",TMAX,2016-01-21T00:00:00,GHCND:USC00427516,150
249,",,7,0800",TMIN,2016-01-21T00:00:00,GHCND:USC00427516,-6
250,",,7,0800",TOBS,2016-01-21T00:00:00,GHCND:USC00427516,-6
251,",,N,",PRCP,2016-01-22T00:00:00,GHCND:US1UTWG0005,0
252,",,N,",SNOW,2016-01-22T00:00:00,GHCND:US1UTWG0005,0
253,",,N,",PRCP,2016-01-22T00:00:00,GHCND:US1UTWG0014,0
254,",,N,",SNOW,2016-01-22T00:00:00,GHCND:US1UTWG0014,0
255,",,7,0800",PRCP,2016-01-22T00:00:00,GHCND:USC00423506,0
256,",,7,",SNOW,2016-01-22T00:00:00,GHCND:USC00423506,0
257,",,7,",SNWD,2016-01-22T00:00:00,GHCND:USC00423506,0
258,",,7,0800",PRCP,2016-01-22T00:00:00,GHCND:USC00427516,0
259,",,7,",SNOW,2016-01-22T00:00:00,GHCND:USC00427516,0
260,",,7,0800",SNWD,2016-01-22T00:00:00,GHCND:USC00427516,0
261,",,7,0800",TMAX,2016-01-22T00:00:00,GHCND:USC00427516,139
262,",,7,0800",TMIN,2016-01-22T00:00:00,GHCND:USC00427516,-6
263,",,7,0800",TOBS,2016-01-22T00:00:00,GHCND:USC00427516,0
264,",,N,",PRCP,2016-01-23T00:00:00,GHCND:US1UTWG0014,0
265,",,N,",SNOW,2016-01-23T00:00:00,GHCND:US1UTWG0014,0
266,",,7,0800",PRCP,2016-01-23T00:00:00,GHCND:USC00423506,0
267,",,7,",SNOW,2016-01-23T00:00:00,GHCND:USC00423506,0
268,",,7,",SNWD,2016-01-23T00:00:00,GHCND:USC00423506,0
269,",,7,0800",PRCP,2016-01-23T00:00:00,GHCND:USC00427516,0
270,",,7,",SNOW,2016-01-23T00:00:00,GHCND:USC00427516,0
271,",,7,0800",SNWD,2016-01-23T00:00:00,GHCND:USC00427516,0
272,",,7,0800",TMAX,2016-01-23T00:00:00,GHCND:USC00427516,150
273,",,7,0800",TMIN,2016-01-23T00:00:00,GHCND:USC00427516,0
274,",,7,0800",TOBS,2016-01-23T00:00:00,GHCND:USC00427516,28
275,",,N,",PRCP,2016-01-24T00:00:00,GHCND:US1UTWG0005,8
276,"T,,N,",PRCP,2016-01-24T00:00:00,GHCND:US1UTWG0014,0
277,",,7,0800",PRCP,2016-01-24T00:00:00,GHCND:USC00423506,0
278,",,7,",SNOW,2016-01-24T00:00:00,GHCND:USC00423506,0
279,",,7,",SNWD,2016-01-24T00:00:00,GHCND:USC00423506,0
280,",,7,0800",PRCP,2016-01-24T00:00:00,GHCND:USC00427516,3
281,",,7,",SNOW,2016-01-24T00:00:00,GHCND:USC00427516,0
282,",,7,0800",SNWD,2016-01-24T00:00:00,GHCND:USC00427516,0
283,",,7,0800",TMAX,2016-01-24T00:00:00,GHCND:USC00427516,122
284,",,7,0800",TMIN,2016-01-24T00:00:00,GHCND:USC00427516,28
285,",,7,0800",TOBS,2016-01-24T00:00:00,GHCND:USC00427516,72
286,",,N,",PRCP,2016-01-25T00:00:00,GHCND:US1UTWG0005,0
287,",,N,",SNOW,2016-01-25T00:00:00,GHCND:US1UTWG0005,0
288,",,N,",PRCP,2016-01-25T00:00:00,GHCND:US1UTWG0014,0
289,",,N,",SNOW,2016-01-25T00:00:00,GHCND:US1UTWG0014,0
290,",,7,0800",PRCP,2016-01-25T00:00:00,GHCND:USC00423506,0
291,",,7,",SNOW,2016-01-25T00:00:00,GHCND:USC00423506,0
292,",,7,",SNWD,2016-01-25T00:00:00,GHCND:USC00423506,0
293,",,7,0800",PRCP,2016-01-25T00:00:00,GHCND:USC00427516,0
294,",,7,",SNOW,2016-01-25T00:00:00,GHCND:USC00427516,0
295,",,7,0800",SNWD,2016-01-25T00:00:00,GHCND:USC00427516,0
296,",,7,0800",TMAX,2016-01-25T00:00:00,GHCND:USC00427516,144
297,",,7,0800",TMIN,2016-01-25T00:00:00,GHCND:USC00427516,-11
298,",,7,0800",TOBS,2016-01-25T00:00:00,GHCND:USC00427516,-11
299,",,N,",PRCP,2016-01-26T00:00:00,GHCND:US1UTWG0005,0
300,",,N,",SNOW,2016-01-26T00:00:00,GHCND:US1UTWG0005,0
301,",,N,",PRCP,2016-01-26T00:00:00,GHCND:US1UTWG0014,0
302,",,N,",SNOW,2016-01-26T00:00:00,GHCND:US1UTWG0014,0
303,",,7,0800",PRCP,2016-01-26T00:00:00,GHCND:USC00423506,0
304,",,7,",SNOW,2016-01-26T00:00:00,GHCND:USC00423506,0
305,",,7,",SNWD,2016-01-26T00:00:00,GHCND:USC00423506,0
306,",,7,0800",PRCP,2016-01-26T00:00:00,GHCND:USC00427516,0
307,",,7,",SNOW,2016-01-26T00:00:00,GHCND:USC00427516,0
308,",,7,0800",SNWD,2016-01-26T00:00:00,GHCND:USC00427516,0
309,",,7,0800",TMAX,2016-01-26T00:00:00,GHCND:USC00427516,128
310,",,7,0800",TMIN,2016-01-26T00:00:00,GHCND:USC00427516,-28
311,",,7,0800",TOBS,2016-01-26T00:00:00,GHCND:USC00427516,-22
312,",,N,",PRCP,2016-01-27T00:00:00,GHCND:US1UTWG0005,0
313,",,N,",SNOW,2016-01-27T00:00:00,GHCND:US1UTWG0005,0
314,",,7,0800",PRCP,2016-01-27T00:00:00,GHCND:USC00423506,0
315,",,7,",SNOW,2016-01-27T00:00:00,GHCND:USC00423506,0
316,",,7,",SNWD,2016-01-27T00:00:00,GHCND:USC00423506,0
317,",,7,0800",PRCP,2016-01-27T00:00:00,GHCND:USC00427516,0
318,",,7,",SNOW,2016-01-27T00:00:00,GHCND:USC00427516,0
319,",,7,0800",SNWD,2016-01-27T00:00:00,GHCND:USC00427516,0
320,",,7,0800",TMAX,2016-01-27T00:00:00,GHCND:USC00427516,122
321,",,7,0800",TMIN,2016-01-27T00:00:00,GHCND:USC00427516,-28
322,",,7,0800",TOBS,2016-01-27T00:00:00,GHCND:USC00427516,-28
323,",,N,",PRCP,2016-01-28T00:00:00,GHCND:US1UTWG0005,0
324,",,N,",SNOW,2016-01-28T00:00:00,GHCND:US1UTWG0005,0
325,",,N,",PRCP,2016-01-28T00:00:00,GHCND:US1UTWG0014,0
326,",,N,",SNOW,2016-01-28T00:00:00,GHCND:US1UTWG0014,0
327,",,7,0800",PRCP,2016-01-28T00:00:00,GHCND:USC00423506,0
328,",,7,",SNOW,2016-01-28T00:00:00,GHCND:USC00423506,0
329,",,7,",SNWD,2016-01-28T00:00:00,GHCND:USC00423506,0
330,",,7,0800",PRCP,2016-01-28T00:00:00,GHCND:USC00427516,0
331,",,7,",SNOW,2016-01-28T00:00:00,GHCND:USC00427516,0
332,",,7,0800",SNWD,2016-01-28T00:00:00,GHCND:USC00427516,0
333,",,7,0800",TMAX,2016-01-28T00:00:00,GHCND:USC00427516,133
334,",,7,0800",TMIN,2016-01-28T00:00:00,GHCND:USC00427516,-28
335,",,7,0800",TOBS,2016-01-28T00:00:00,GHCND:USC00427516,-11
336,",,N,",PRCP,2016-01-29T00:00:00,GHCND:US1UTWG0005,0
337,",,N,",SNOW,2016-01-29T00:00:00,GHCND:US1UTWG0005,0
338,",,7,0800",PRCP,2016-01-29T00:00:00,GHCND:USC00423506,0
339,",,7,",SNOW,2016-01-29T00:00:00,GHCND:USC00423506,0
340,",,7,",SNWD,2016-01-29T00:00:00,GHCND:USC00423506,0
341,",,7,0800",PRCP,2016-01-29T00:00:00,GHCND:USC00427516,0
342,",,7,",SNOW,2016-01-29T00:00:00,GHCND:USC00427516,0
343,",,7,0800",SNWD,2016-01-29T00:00:00,GHCND:USC00427516,0
344,",,7,0800",TMAX,2016-01-29T00:00:00,GHCND:USC00427516,156
345,",,7,0800",TMIN,2016-01-29T00:00:00,GHCND:USC00427516,-11
346,",,7,0800",TOBS,2016-01-29T00:00:00,GHCND:USC00427516,28
347,",,N,",PRCP,2016-01-30T00:00:00,GHCND:US1UTWG0005,0
348,",,N,",SNOW,2016-01-30T00:00:00,GHCND:US1UTWG0005,0
349,",,7,0800",PRCP,2016-01-30T00:00:00,GHCND:USC00423506,0
